"x" "y" "z"
"569" 1.61 51.29 21.2672001647949
"570" 1.61 51.3 19.7163999938965
"571" 1.61 51.31 20.3471998596191
"572" 1.61 51.32 17.8105002403259
"573" 1.61 51.33 18.4352001953125
"574" 1.61 51.34 19.602799987793
"575" 1.61 51.35 19.1696000671387
"576" 1.61 51.36 19.88
"577" 1.61 51.37 16.2084999084473
"578" 1.61 51.38 15.4047999572754
"579" 1.61 51.39 15.8524000549316
"580" 1.61 51.4 16.3999998855591
"581" 1.61 51.41 16.1032000732422
"582" 1.61 51.42 16.5144998073578
"583" 1.61 51.43 20.8183999633789
"584" 1.61 51.44 21.4940000152588
"585" 1.61 51.45 21.7311999511719
"586" 1.61 51.46 22.4843999481201
"587" 1.61 51.47 23.0399998664856
"588" 1.61 51.48 23.2263997650146
"589" 1.61 51.49 23.3843998718262
"590" 1.61 51.5 23.5164000701904
"591" 1.61 51.51 23.2756000518799
"592" 1.61 51.52 23.0405000686645
"593" 1.61 51.53 24.8664001464844
"594" 1.61 51.54 24.9715999603271
"595" 1.61 51.55 25.6168000030518
"596" 1.61 51.56 25.607200088501
"597" 1.61 51.57 24.3804998397827
"598" 1.61 51.58 22.4880000305176
"599" 1.61 51.59 21.1720000457764
"600" 1.61 51.6 10.7367999267578
"601" 1.61 51.61 4.96440000534058
"602" 1.61 51.62 3.3575000166893
"603" 1.61 51.63 3.58520000457764
"604" 1.61 51.64 2.40199996471405
"605" 1.61 51.65 1.82
"606" 1.61 51.66 8.29239998340607
"607" 1.61 51.67 13.0165000915527
"608" 1.61 51.68 16.162799949646
"609" 1.61 51.69 18.0428001403809
"610" 1.61 51.7 17.6631999969482
"611" 1.61 51.71 17.5267999649048
"612" 1.61 51.72 18.4440001487732
"613" 1.61 51.73 19.4992000579834
"614" 1.61 51.74 10.6636000442505
"615" 1.61 51.75 6.72959999084473
"616" 1.61 51.76 8.82039999008179
"617" 1.61 51.77 9.44400005340576
"618" 1.61 51.78 7.97800005912781
"619" 1.61 51.79 6.80999999523163
"620" 1.61 51.8 17.8807999801636
"621" 1.61 51.81 18.8743997192383
"622" 1.61 51.82 18.0510000228882
"623" 1.61 51.83 18.0947998046875
"624" 1.61 51.84 16.8540000915527
"625" 1.61 51.85 18.6888000488281
"626" 1.61 51.86 21.8388001251221
"627" 1.61 51.87 22.4405000686646
"628" 1.61 51.88 22.118399887085
"629" 1.61 51.89 20.2836000823975
"630" 1.61 51.9 19.474400177002
"631" 1.61 51.91 19.4315998840332
"632" 1.61 51.92 20.1220000267029
"633" 1.61 51.93 17.9023999023437
"634" 1.61 51.94 10.7080000209808
"635" 1.61 51.95 5.47320001602173
"636" 1.61 51.96 12.3795998954773
"637" 1.61 51.97 13.6449999809265
"638" 1.61 51.98 14.3251999664307
"639" 1.61 51.99 14.5515999603271
"640" 1.61 52 13.4639999389648
"641" 1.61 52.01 14.4575999832153
"642" 1.61 52.02 16.4295000076294
"643" 1.61 52.03 15.5651999664307
"644" 1.61 52.04 13.002799987793
"645" 1.61 52.05 14.226000213623
"646" 1.62 50.77 NA
"647" 1.62 50.78 NA
"648" 1.62 50.79 NA
"649" 1.62 50.8 NA
"650" 1.62 50.81 NA
"651" 1.62 50.82 NA
"652" 1.62 50.83 NA
"653" 1.62 50.84 NA
"654" 1.62 50.85 NA
"655" 1.62 50.86 NA
"656" 1.62 50.87 NA
"657" 1.62 50.88 NA
"658" 1.62 50.89 2.22400002002716
"659" 1.62 50.9 9.64799991607666
"660" 1.62 50.91 17.5839998626709
"661" 1.62 50.92 21.1799998283386
"662" 1.62 50.93 22.663999786377
"663" 1.62 50.94 26.4719998931885
"664" 1.62 50.95 29.4
"665" 1.62 50.96 34.3760003662109
"666" 1.62 50.97 42.0400005340576
"667" 1.62 50.98 43.9488005065918
"668" 1.62 50.99 40.058399810791
"669" 1.62 51 37.3859997558594
"670" 1.62 51.01 36.9396000671387
"671" 1.62 51.02 38.1244995117188
"672" 1.62 51.03 43.3688005065918
"673" 1.62 51.04 39.6060003662109
"674" 1.62 51.05 37.0479998779297
"675" 1.62 51.06 34.9932000732422
"676" 1.62 51.07 33.6429999351501
"677" 1.62 51.08 31.7407999420166
"678" 1.62 51.09 31.694400100708
"679" 1.62 51.1 32.0616000366211
"680" 1.62 51.11 34.4176000976562
"681" 1.62 51.12 41.0814998626709
"682" 1.62 51.13 44.988399810791
"683" 1.62 51.14 44.2892001342773
"684" 1.62 51.15 44.7520004272461
"685" 1.62 51.16 45.6163995361328
"686" 1.62 51.17 42.9530000686646
"687" 1.62 51.18 43.3756001281738
"688" 1.62 51.19 46.546799621582
"689" 1.62 51.2 49.482799987793
"690" 1.62 51.21 50.6403997802734
"691" 1.62 51.22 51.4490003585815
"692" 1.62 51.23 49.8379997253418
"693" 1.62 51.24 50.178399810791
"694" 1.62 51.25 50.6991995239258
"695" 1.62 51.26 49.9127996826172
"696" 1.62 51.27 42.9265001296997
"697" 1.62 51.28 31.6407998657227
"698" 1.62 51.29 23.6247998809814
"699" 1.62 51.3 20.2500002288818
"700" 1.62 51.31 21.6508000946045
"701" 1.62 51.32 19.8875
"702" 1.62 51.33 20.1840000152588
"703" 1.62 51.34 18.2404002380371
"704" 1.62 51.35 18.4492001342773
"705" 1.62 51.36 21.1528000640869
"706" 1.62 51.37 17.9979999542236
"707" 1.62 51.38 15.8376000595093
"708" 1.62 51.39 15.455599937439
"709" 1.62 51.4 16.3747998428345
"710" 1.62 51.41 16.3188000488281
"711" 1.62 51.42 17.9235001564026
"712" 1.62 51.43 21.1363999176025
